"";"Subject";"Day";"CellType";"Accuracy"
"1";"AK42_CA1";"1";"FI";0,833
"2";"AK42_CA1";"1";"FS";NA
"3";"AK42_CA1";"2";"FI";0,667
"4";"AK42_CA1";"2";"FS";NA
"5";"AK42_CA1";"3";"FI";0,75
"6";"AK42_CA1";"3";"FS";NA
"7";"AK74_CA1";"1";"FI";0,583
"8";"AK74_CA1";"1";"FS";0,667
"9";"AK74_CA1";"2";"FI";0,727
"10";"AK74_CA1";"2";"FS";0,917
"11";"AK74_CA1";"3";"FI";0,667
"12";"AK74_CA1";"3";"FS";NA
"13";"CMG129_CA1";"1";"FI";0,375
"14";"CMG129_CA1";"1";"FS";0,5
"15";"CMG129_CA1";"2";"FI";0,375
"16";"CMG129_CA1";"2";"FS";0,5
"17";"CMG129_CA1";"3";"FI";0,667
"18";"CMG129_CA1";"3";"FS";0,583
"19";"CMG154_CA1";"1";"FI";0,667
"20";"CMG154_CA1";"1";"FS";0,667
"21";"CMG154_CA1";"2";"FI";0,286
"22";"CMG154_CA1";"2";"FS";1
"23";"CMG154_CA1";"3";"FI";0,286
"24";"CMG154_CA1";"3";"FS";0,714
"25";"CMG159_recut";"1";"FI";0,75
"26";"CMG159_recut";"1";"FS";0,875
"27";"CMG159_recut";"2";"FI";0,909
"28";"CMG159_recut";"2";"FS";0,909
"29";"CMG159_recut";"3";"FI";0,917
"30";"CMG159_recut";"3";"FS";1
"31";"CMG161_CA1";"1";"FI";0,75
"32";"CMG161_CA1";"1";"FS";0,625
"33";"CMG161_CA1";"2";"FI";0,875
"34";"CMG161_CA1";"2";"FS";NA
"35";"CMG161_CA1";"3";"FI";0,417
"36";"CMG161_CA1";"3";"FS";1
"37";"CMG162_CA1";"1";"FI";0,25
"38";"CMG162_CA1";"1";"FS";0,5
"39";"CMG162_CA1";"2";"FI";0,583
"40";"CMG162_CA1";"2";"FS";0,833
"41";"CMG162_CA1";"3";"FI";0,417
"42";"CMG162_CA1";"3";"FS";0,833
"43";"CMG169_CA1";"1";"FI";0,5
"44";"CMG169_CA1";"1";"FS";0,625
"45";"CMG169_CA1";"2";"FI";0,5
"46";"CMG169_CA1";"2";"FS";0,667
"47";"CMG169_CA1";"3";"FI";0,727
"48";"CMG169_CA1";"3";"FS";0,636
"49";"HGY1_recut";"1";"FI";0,5
"50";"HGY1_recut";"1";"FS";0,5
"51";"JJ9_CA1";"1";"FI";0,375
"52";"JJ9_CA1";"1";"FS";NA
"53";"JJ9_CA1";"2";"FI";0,917
"54";"JJ9_CA1";"2";"FS";NA
"55";"JJ9_CA1";"3";"FI";0,917
"56";"JJ9_CA1";"3";"FS";1
"57";"K1_CA1";"1";"FI";0
"58";"K1_CA1";"1";"FS";NA
"59";"K1_CA1";"2";"FI";0,083
"60";"K1_CA1";"2";"FS";NA
"61";"K1_CA1";"3";"FI";0,273
"62";"K1_CA1";"3";"FS";NA
"63";"MG1";"1";"FI";0,583
"64";"MG1";"1";"FS";0,75
"65";"MG1";"2";"FI";0,833
"66";"MG1";"2";"FS";0,636
"67";"MG1";"3";"FI";0,667
"68";"MG1";"3";"FS";0,818
