"";"Subject";"Context";"Day";"CellType";"BMROrder";"bmr";"N";"Ntt";"Perc";"animal";"trialA";"trialB";"contextA";"contextB";"isCoherent";"rot1";"rot2";"rot3";"rot4"
"1";"CMG129_CA1_TA1_TB10";"across";"3";"FI";"C_3";"1";30;123;0,24390243902439;"CMG129_CA1";1;10;1;2;1;0,317;0,293;0,244;0,146
"2";"CMG129_CA1_TA1_TB10";"across";"3";"FI";"C_4";"2";18;123;0,146341463414634;"CMG129_CA1";1;10;1;2;1;0,317;0,293;0,244;0,146
"3";"CMG129_CA1_TA1_TB10";"across";"3";"FI";"C_1";"3";39;123;0,317073170731707;"CMG129_CA1";1;10;1;2;1;0,317;0,293;0,244;0,146
"4";"CMG129_CA1_TA1_TB10";"across";"3";"FI";"C_2";"4";36;123;0,292682926829268;"CMG129_CA1";1;10;1;2;1;0,317;0,293;0,244;0,146
"5";"CMG129_CA1_TA1_TB10";"across";"3";"FS";"C_2";"1";2;8;0,25;"CMG129_CA1";1;10;1;2;0;0,375;0,25;0,25;0,125
"6";"CMG129_CA1_TA1_TB10";"across";"3";"FS";"C_4";"2";1;8;0,125;"CMG129_CA1";1;10;1;2;0;0,375;0,25;0,25;0,125
"7";"CMG129_CA1_TA1_TB10";"across";"3";"FS";"C_1";"3";3;8;0,375;"CMG129_CA1";1;10;1;2;0;0,375;0,25;0,25;0,125
"8";"CMG129_CA1_TA1_TB10";"across";"3";"FS";"C_3";"4";2;8;0,25;"CMG129_CA1";1;10;1;2;0;0,375;0,25;0,25;0,125
"9";"CMG129_CA1_TA1_TB11";"within";"3";"FI";"C_1";"1";39;123;0,317073170731707;"CMG129_CA1";1;11;1;1;1;0,317;0,301;0,203;0,179
"10";"CMG129_CA1_TA1_TB11";"within";"3";"FI";"C_3";"2";25;123;0,203252032520325;"CMG129_CA1";1;11;1;1;1;0,317;0,301;0,203;0,179
"11";"CMG129_CA1_TA1_TB11";"within";"3";"FI";"C_2";"3";37;123;0,300813008130081;"CMG129_CA1";1;11;1;1;1;0,317;0,301;0,203;0,179
"12";"CMG129_CA1_TA1_TB11";"within";"3";"FI";"C_4";"4";22;123;0,178861788617886;"CMG129_CA1";1;11;1;1;1;0,317;0,301;0,203;0,179
"13";"CMG129_CA1_TA1_TB11";"within";"3";"FS";"C_3";"1";1;8;0,125;"CMG129_CA1";1;11;1;1;0;0,375;0,375;0,125;0,125
