"";"animalName";"animalSessionCellName";"avgWithinCorrelation";"avgAcrossCorrelation";"bestAlignedCorrelation";"Day";"Type";"Decile"
"1";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";0,341195418;0,250694251;0,469516296;"Day 1";"Calcium";3
"2";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";0,444520474;0,514270399;0,779308792;"Day 1";"Calcium";8
"3";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";0,327317287;0,278015487;0,676062452;"Day 1";"Calcium";6
"4";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_101.t";0,351603965;0,33797453;0,712044083;"Day 1";"Calcium";7
"5";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_102.t";0,47303352;0,482034729;0,789408166;"Day 1";"Calcium";8
"6";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_103.t";0,255126975;0,379305449;0,519835794;"Day 1";"Calcium";4
"7";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_104.t";0,372111961;0,407021137;0,674079163;"Day 1";"Calcium";6
"8";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_106.t";0,255451609;0,370380341;0,665282437;"Day 1";"Calcium";6
"9";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_107.t";0,36663949;0,402263548;0,711813886;"Day 1";"Calcium";7
"10";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_108.t";0,423375713;0,376297836;0,605283838;"Day 1";"Calcium";5
"11";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_111.t";0,368211714;0,36849427;0,609546641;"Day 1";"Calcium";5
"12";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_112.t";0,319750266;0,351427531;0,455550343;"Day 1";"Calcium";3
"13";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_113.t";0,314905716;0,2403451;0,382490291;"Day 1";"Calcium";2
"14";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_114.t";0,318209847;0,357252667;0,494527541;"Day 1";"Calcium";3
"15";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_115.t";0,37436125;0,364030546;0,56373179;"Day 1";"Calcium";4
"16";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_116.t";0,511724898;0,527201828;0,70514355;"Day 1";"Calcium";7
"17";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_117.t";0,392281121;0,413175441;0,732036618;"Day 1";"Calcium";7
"18";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_118.t";0,38997016;0,367556058;0,454817011;"Day 1";"Calcium";3
"19";"CMG129_CA1";"CMG129_CA1_s1_CMG129_CA1_s1_119.t";0,466602015;0,395202546;0,362671706;"Day 1";"Calcium";2
