"";"animalSessionCellName";"dayUsed";"bestCorrelation"
"1";"AK42_CA1_d7_TT2_02.t";1;0,967235433
"2";"AK42_CA1_d7_TT2_03.t";1;0,519040992
"3";"AK42_CA1_d7_TT2_04.t";1;0,780876097
"4";"AK42_CA1_d7_TT2_05.t";1;0,964558538
"5";"AK42_CA1_d7_TT4_03.t";1;0,912031057
"6";"AK42_CA1_d7_TT4_04.t";1;0,914790672
"7";"AK42_CA1_d7_TT5_01.t";1;0,954903006
"8";"AK42_CA1_d7_TT5_02.t";1;0,977607339
"9";"AK42_CA1_d7_TT5_03.t";1;0,91137142
"10";"AK42_CA1_d7_TT5_04.t";1;0,692377997
"11";"AK42_CA1_d7_TT5_05.t";1;0,936103384
"12";"AK42_CA1_d8_TT2_03.t";2;0,942551646
"13";"AK42_CA1_d8_TT2_04.t";2;0,980217731
"14";"AK42_CA1_d8_TT2_05.t";2;0,781523813
"15";"AK42_CA1_d8_TT5_01.t";2;0,755864384
"16";"AK42_CA1_d8_TT5_02.t";2;0,956670902
"17";"AK42_CA1_d8_TT5_03.t";2;0,886957405
"18";"AK42_CA1_d8_TT5_04.t";2;0,406725574
"19";"AK42_CA1_d9_TT2_01.t";3;0,811043573
"20";"AK42_CA1_d9_TT2_02.t";3;0,951059812
"21";"AK42_CA1_d9_TT2_03.t";3;0,747376949
"22";"AK42_CA1_d9_TT4_01.t";3;0,526462625
"23";"AK42_CA1_d9_TT4_02.t";3;0,56656387
"24";"AK42_CA1_d9_TT4_05.t";3;0,451152044
"25";"AK42_CA1_d9_TT5_01.t";3;0,514756305
"26";"AK42_CA1_d9_TT5_02.t";3;0,328571202
"27";"AK42_CA1_d9_TT5_03.t";3;0,648881858
"28";"AK42_CA1_d9_TT5_04.t";3;0,795225262
"29";"AK42_CA1_d9_TT5_05.t";3;0,84005774
"30";"AK74_CA1_d1_TT4_02.t";1;0,680097587
"31";"AK74_CA1_d1_TT4_05.t";1;0,236708893
"32";"AK74_CA1_d1_TT4_06.t";1;0,76765644
"33";"AK74_CA1_d1_TT4_07.t";1;0,265120002
"34";"AK74_CA1_d2_TT4_01.t";2;-0,259948646
"35";"AK74_CA1_d2_TT4_02.t";2;0,761528428
"36";"AK74_CA1_d2_TT4_03.t";2;0,062694174
"37";"AK74_CA1_d2_TT4_04.t";2;0,035337725
"38";"AK74_CA1_d2_TT4_06.t";2;NA
"39";"AK74_CA1_d3_TT4_01.t";3;0,848769554
"40";"AK74_CA1_d3_TT4_02.t";3;0,926464216
"41";"AK74_CA1_d3_TT4_04.t";3;0,732949231
"42";"AK74_CA1_d3_TT4_07.t";3;0,347086737
"43";"AK74_CA1_d3_TT4_08.t";3;0,905136859
"44";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";1;0,469516296
"45";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";1;0,779308792
"46";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";1;0,676062452
"47";"CMG129_CA1_s1_CMG129_CA1_s1_101.t";1;0,712044083
"48";"CMG129_CA1_s1_CMG129_CA1_s1_102.t";1;0,789408166
"49";"CMG129_CA1_s1_CMG129_CA1_s1_103.t";1;0,519835794
"50";"CMG129_CA1_s1_CMG129_CA1_s1_104.t";1;0,674079163
"51";"CMG129_CA1_s1_CMG129_CA1_s1_106.t";1;0,665282437
"52";"CMG129_CA1_s1_CMG129_CA1_s1_107.t";1;0,711813886
"53";"CMG129_CA1_s1_CMG129_CA1_s1_108.t";1;0,605283838
"54";"CMG129_CA1_s1_CMG129_CA1_s1_111.t";1;0,609546641
"55";"CMG129_CA1_s1_CMG129_CA1_s1_112.t";1;0,455550343
"56";"CMG129_CA1_s1_CMG129_CA1_s1_113.t";1;0,382490291
"57";"CMG129_CA1_s1_CMG129_CA1_s1_114.t";1;0,494527541
"58";"CMG129_CA1_s1_CMG129_CA1_s1_115.t";1;0,56373179
"59";"CMG129_CA1_s1_CMG129_CA1_s1_116.t";1;0,70514355
"60";"CMG129_CA1_s1_CMG129_CA1_s1_117.t";1;0,732036618
"61";"CMG129_CA1_s1_CMG129_CA1_s1_118.t";1;0,454817011
"62";"CMG129_CA1_s1_CMG129_CA1_s1_119.t";1;0,362671706
"63";"CMG129_CA1_s1_CMG129_CA1_s1_12.t";1;0,413185706
"64";"CMG129_CA1_s1_CMG129_CA1_s1_121.t";1;0,80102408
"65";"CMG129_CA1_s1_CMG129_CA1_s1_122.t";1;0,463321743
"66";"CMG129_CA1_s1_CMG129_CA1_s1_123.t";1;0,623010483
"67";"CMG129_CA1_s1_CMG129_CA1_s1_124.t";1;0,310426986
"68";"CMG129_CA1_s1_CMG129_CA1_s1_125.t";1;0,886240234
"69";"CMG129_CA1_s1_CMG129_CA1_s1_126.t";1;0,389165842
"70";"CMG129_CA1_s1_CMG129_CA1_s1_128.t";1;0,464955927
"71";"CMG129_CA1_s1_CMG129_CA1_s1_129.t";1;0,517275842
"72";"CMG129_CA1_s1_CMG129_CA1_s1_13.t";1;0,820755956
"73";"CMG129_CA1_s1_CMG129_CA1_s1_130.t";1;0,525650765
"74";"CMG129_CA1_s1_CMG129_CA1_s1_131.t";1;0,075264039
"75";"CMG129_CA1_s1_CMG129_CA1_s1_133.t";1;0,832631498
"76";"CMG129_CA1_s1_CMG129_CA1_s1_134.t";1;0,826887109
"77";"CMG129_CA1_s1_CMG129_CA1_s1_135.t";1;0,543557199
"78";"CMG129_CA1_s1_CMG129_CA1_s1_136.t";1;0,730950741
"79";"CMG129_CA1_s1_CMG129_CA1_s1_137.t";1;0,69663874
"80";"CMG129_CA1_s1_CMG129_CA1_s1_138.t";1;0,47373727
"81";"CMG129_CA1_s1_CMG129_CA1_s1_14.t";1;0,834714333
"82";"CMG129_CA1_s1_CMG129_CA1_s1_140.t";1;0,773552104
"83";"CMG129_CA1_s1_CMG129_CA1_s1_141.t";1;0,447216492
