"";"Subject";"Day";"Rotation";"Proportion"
"1";"CMG129_CA1";"Day 1";"0º";0,2771963982
"2";"CMG129_CA1";"Day 1";"90º";0,2105135069
"3";"CMG129_CA1";"Day 1";"180º";0,3112679484
"4";"CMG129_CA1";"Day 1";"270º";0,2010221465
"5";"CMG154_CA1";"Day 1";"0º";0,2635542169
"6";"CMG154_CA1";"Day 1";"90º";0,1573795181
"7";"CMG154_CA1";"Day 1";"180º";0,3448795181
"8";"CMG154_CA1";"Day 1";"270º";0,234186747
"9";"CMG161_CA1";"Day 1";"0º";0,3263598326
"10";"CMG161_CA1";"Day 1";"90º";0,1935146444
"11";"CMG161_CA1";"Day 1";"180º";0,260460251
"12";"CMG161_CA1";"Day 1";"270º";0,219665272
"13";"CMG162_CA1";"Day 1";"0º";0,3487356322
"14";"CMG162_CA1";"Day 1";"90º";0,187816092
"15";"CMG162_CA1";"Day 1";"180º";0,2652873563
"16";"CMG162_CA1";"Day 1";"270º";0,1981609195
"17";"CMG169_CA1";"Day 1";"0º";0,3426169207
"18";"CMG169_CA1";"Day 1";"90º";0,182869154
"19";"CMG169_CA1";"Day 1";"180º";0,2921702575
"20";"CMG169_CA1";"Day 1";"270º";0,1823436679
"21";"CMG129_CA1";"Day 2";"0º";0,2965741435
"22";"CMG129_CA1";"Day 2";"90º";0,200300075
"23";"CMG129_CA1";"Day 2";"180º";0,295323831
"24";"CMG129_CA1";"Day 2";"270º";0,2078019505
"25";"CMG154_CA1";"Day 2";"0º";0,3326254826
"26";"CMG154_CA1";"Day 2";"90º";0,2212355212
"27";"CMG154_CA1";"Day 2";"180º";0,2704633205
"28";"CMG154_CA1";"Day 2";"270º";0,1756756757
"29";"CMG161_CA1";"Day 2";"0º";0,3333333333
"30";"CMG161_CA1";"Day 2";"90º";0,1655251142
"31";"CMG161_CA1";"Day 2";"180º";0,299086758
"32";"CMG161_CA1";"Day 2";"270º";0,2020547945
"33";"CMG162_CA1";"Day 2";"0º";0,3400174368
"34";"CMG162_CA1";"Day 2";"90º";0,2013949433
"35";"CMG162_CA1";"Day 2";"180º";0,2455100262
"36";"CMG162_CA1";"Day 2";"270º";0,2130775937
"37";"CMG169_CA1";"Day 2";"0º";0,2687981054
"38";"CMG169_CA1";"Day 2";"90º";0,1989342806
"39";"CMG169_CA1";"Day 2";"180º";0,2841918295
"40";"CMG169_CA1";"Day 2";"270º";0,2480757845
"41";"CMG129_CA1";"Day 3";"0º";0,2999345978
"42";"CMG129_CA1";"Day 3";"90º";0,1905820798
"43";"CMG129_CA1";"Day 3";"180º";0,2947024199
"44";"CMG129_CA1";"Day 3";"270º";0,2147809026
"45";"CMG154_CA1";"Day 3";"0º";0,2971092077
"46";"CMG154_CA1";"Day 3";"90º";0,2267130621
"47";"CMG154_CA1";"Day 3";"180º";0,2532119914
"48";"CMG154_CA1";"Day 3";"270º";0,2229657388
"49";"CMG161_CA1";"Day 3";"0º";0,3489030432
"50";"CMG161_CA1";"Day 3";"90º";0,1840056617
"51";"CMG161_CA1";"Day 3";"180º";0,2597310686
"52";"CMG161_CA1";"Day 3";"270º";0,2073602265
"53";"CMG162_CA1";"Day 3";"0º";0,3020151134
"54";"CMG162_CA1";"Day 3";"90º";0,1949622166
"55";"CMG162_CA1";"Day 3";"180º";0,2773299748
"56";"CMG162_CA1";"Day 3";"270º";0,2256926952
"57";"CMG169_CA1";"Day 3";"0º";0,3303101759
"58";"CMG169_CA1";"Day 3";"90º";0,1928169781
"59";"CMG169_CA1";"Day 3";"180º";0,2593869037
"60";"CMG169_CA1";"Day 3";"270º";0,2174859423
