"";"Rotation";"Day";"n";"NAs";"Min";"1st Qu";"Median";"Mean";"Trimmed(20%)";"3rd Qu";"Max";"SD";"SEM";"IQR";"MAD"
"1";"0º";"Day 1";5;0;"0.26";"0.28";"0.33";"0.31";"0.32";"0.34";"0.35";"0.04";"0.02";"0.07";"0.03"
"2";"90º";"Day 1";5;0;"0.16";"0.18";"0.19";"0.19";"0.19";"0.19";"0.21";"0.02";"0.01";"0.01";"0.01"
"3";"180º";"Day 1";5;0;"0.26";"0.27";"0.29";"0.29";"0.29";"0.31";"0.34";"0.03";"0.02";"0.05";"0.04"
"4";"270º";"Day 1";5;0;"0.18";"0.20";"0.20";"0.21";"0.21";"0.22";"0.23";"0.02";"0.01";"0.02";"0.03"
"5";"0º";"Day 2";5;0;"0.27";"0.30";"0.33";"0.31";"0.32";"0.33";"0.34";"0.03";"0.01";"0.04";"0.01"
"6";"90º";"Day 2";5;0;"0.17";"0.20";"0.20";"0.20";"0.20";"0.20";"0.22";"0.02";"0.01";"0.00";"0.00"
"7";"180º";"Day 2";5;0;"0.25";"0.27";"0.28";"0.28";"0.28";"0.30";"0.30";"0.02";"0.01";"0.02";"0.02"
"8";"270º";"Day 2";5;0;"0.18";"0.20";"0.21";"0.21";"0.21";"0.21";"0.25";"0.03";"0.01";"0.01";"0.01"
"9";"0º";"Day 3";5;0;"0.30";"0.30";"0.30";"0.32";"0.31";"0.33";"0.35";"0.02";"0.01";"0.03";"0.01"
"10";"90º";"Day 3";5;0;"0.18";"0.19";"0.19";"0.20";"0.19";"0.19";"0.23";"0.02";"0.01";"0.00";"0.00"
"11";"180º";"Day 3";5;0;"0.25";"0.26";"0.26";"0.27";"0.27";"0.28";"0.29";"0.02";"0.01";"0.02";"0.01"
"12";"270º";"Day 3";5;0;"0.21";"0.21";"0.22";"0.22";"0.22";"0.22";"0.23";"0.01";"0.00";"0.01";"0.01"
