"";"Rotation";"CellType";"Context";"Day";"n";"NAs";"Min";"1st Qu";"Median";"Mean";"Trimmed(20%)";"3rd Qu";"Max";"SD";"SEM";"IQR";"MAD"
"1";"0º";"FI";"A";"Day 1";732;2;"0.00";"16.67";"33.33";"34.77";"31.93";"50.00";"100.00";"24.45";"0.90";"33.33";"24.71"
"2";"90º";"FI";"A";"Day 1";732;2;"0.00";"0.00";"16.67";"20.51";"18.64";"33.33";"100.00";"18.94";"0.70";"33.33";"24.71"
"3";"180º";"FI";"A";"Day 1";732;2;"0.00";"0.00";"33.33";"26.37";"24.24";"33.33";"100.00";"21.81";"0.81";"33.33";"24.71"
"4";"270º";"FI";"A";"Day 1";732;2;"0.00";"0.00";"16.67";"18.35";"15.98";"33.33";"100.00";"18.12";"0.67";"33.33";"24.71"
"5";"0º";"FI";"B";"Day 1";516;218;"0.00";"16.67";"33.33";"33.17";"30.86";"50.00";"100.00";"20.78";"0.92";"33.33";"24.71"
"6";"90º";"FI";"B";"Day 1";516;218;"0.00";"0.00";"16.67";"19.44";"18.28";"33.33";"83.33";"16.74";"0.74";"33.33";"24.71"
"7";"180º";"FI";"B";"Day 1";516;218;"0.00";"16.67";"33.33";"26.68";"26.18";"33.33";"83.33";"19.46";"0.86";"16.67";"24.71"
"8";"270º";"FI";"B";"Day 1";516;218;"0.00";"0.00";"16.67";"20.70";"20.00";"33.33";"66.67";"16.50";"0.73";"33.33";"24.71"
"9";"0º";"FI";"A";"Day 2";761;4;"0.00";"16.67";"33.33";"29.71";"28.38";"33.33";"100.00";"22.49";"0.82";"16.67";"19.77"
"10";"90º";"FI";"A";"Day 2";761;4;"0.00";"0.00";"16.67";"20.06";"16.74";"33.33";"100.00";"20.78";"0.75";"33.33";"24.71"
"11";"180º";"FI";"A";"Day 2";761;4;"0.00";"6.67";"33.33";"28.86";"26.91";"40.00";"100.00";"22.64";"0.82";"33.33";"24.71"
"12";"270º";"FI";"A";"Day 2";761;4;"0.00";"0.00";"16.67";"21.37";"18.58";"33.33";"100.00";"21.04";"0.76";"33.33";"24.71"
"13";"0º";"FI";"B";"Day 2";763;2;"0.00";"16.67";"33.33";"34.96";"33.62";"50.00";"100.00";"22.81";"0.83";"33.33";"24.71"
"14";"90º";"FI";"B";"Day 2";763;2;"0.00";"0.00";"16.67";"22.32";"20.66";"33.33";"100.00";"19.13";"0.69";"33.33";"24.71"
"15";"180º";"FI";"B";"Day 2";763;2;"0.00";"0.00";"20.00";"23.05";"20.97";"33.33";"100.00";"19.78";"0.72";"33.33";"19.77"
"16";"270º";"FI";"B";"Day 2";763;2;"0.00";"0.00";"16.67";"19.66";"17.46";"33.33";"100.00";"18.44";"0.67";"33.33";"24.71"
"17";"0º";"FI";"A";"Day 3";572;1;"0.00";"16.67";"30.00";"30.41";"28.40";"40.00";"100.00";"15.65";"0.65";"23.33";"14.83"
"18";"90º";"FI";"A";"Day 3";572;1;"0.00";"13.33";"20.00";"22.05";"21.07";"33.33";"83.33";"14.78";"0.62";"20.00";"14.83"
"19";"180º";"FI";"A";"Day 3";572;1;"0.00";"16.67";"26.67";"25.38";"25.25";"33.33";"80.00";"15.54";"0.65";"16.67";"14.83"
"20";"270º";"FI";"A";"Day 3";572;1;"0.00";"13.33";"20.00";"22.15";"21.72";"33.33";"100.00";"14.64";"0.61";"20.00";"14.83"
"21";"0º";"FI";"B";"Day 3";572;1;"0.00";"26.67";"33.33";"34.91";"33.23";"46.67";"100.00";"21.76";"0.91";"20.00";"14.83"
"22";"90º";"FI";"B";"Day 3";572;1;"0.00";"0.00";"18.33";"18.42";"16.41";"33.33";"100.00";"17.05";"0.71";"33.33";"22.24"
"23";"180º";"FI";"B";"Day 3";572;1;"0.00";"12.50";"26.67";"25.47";"24.86";"33.33";"100.00";"18.91";"0.79";"20.83";"19.77"
"24";"270º";"FI";"B";"Day 3";572;1;"0.00";"6.67";"20.00";"21.21";"19.58";"33.33";"100.00";"18.61";"0.78";"26.67";"19.77"
"25";"0º";"FS";"A";"Day 1";101;4;"0.00";"16.67";"33.33";"28.71";"26.50";"33.33";"100.00";"23.70";"2.36";"16.67";"24.71"
"26";"90º";"FS";"A";"Day 1";101;4;"0.00";"0.00";"33.33";"24.59";"21.86";"33.33";"100.00";"22.56";"2.24";"33.33";"24.71"
"27";"180º";"FS";"A";"Day 1";101;4;"0.00";"0.00";"33.33";"27.06";"24.04";"33.33";"100.00";"23.79";"2.37";"33.33";"24.71"
"28";"270º";"FS";"A";"Day 1";101;4;"0.00";"0.00";"16.67";"19.64";"17.49";"33.33";"66.67";"19.49";"1.94";"33.33";"24.71"
"29";"0º";"FS";"B";"Day 1";61;44;"0.00";"16.67";"33.33";"29.51";"28.83";"50.00";"100.00";"23.05";"2.95";"33.33";"24.71"
"30";"90º";"FS";"B";"Day 1";61;44;"0.00";"0.00";"33.33";"23.77";"22.97";"33.33";"66.67";"18.62";"2.38";"33.33";"24.71"
"31";"180º";"FS";"B";"Day 1";61;44;"0.00";"16.67";"33.33";"26.23";"25.68";"33.33";"66.67";"19.59";"2.51";"16.67";"24.71"
"32";"270º";"FS";"B";"Day 1";61;44;"0.00";"0.00";"16.67";"20.49";"17.57";"33.33";"66.67";"19.34";"2.48";"33.33";"24.71"
"33";"0º";"FS";"A";"Day 2";63;5;"0.00";"0.00";"33.33";"24.81";"23.08";"33.33";"100.00";"22.96";"2.89";"33.33";"9.88"
"34";"90º";"FS";"A";"Day 2";63;5;"0.00";"0.00";"6.67";"18.15";"11.79";"33.33";"100.00";"24.87";"3.13";"33.33";"9.88"
"35";"180º";"FS";"A";"Day 2";63;5;"0.00";"15.00";"33.33";"35.56";"35.21";"66.67";"100.00";"27.07";"3.41";"51.67";"49.42"
"36";"270º";"FS";"A";"Day 2";63;5;"0.00";"0.00";"13.33";"21.48";"14.70";"33.33";"100.00";"27.96";"3.52";"33.33";"19.77"
"37";"0º";"FS";"B";"Day 2";64;4;"0.00";"16.67";"33.33";"32.50";"31.00";"37.50";"100.00";"23.46";"2.93";"20.83";"24.71"
"38";"90º";"FS";"B";"Day 2";64;4;"0.00";"0.00";"16.67";"21.41";"16.75";"33.33";"100.00";"23.64";"2.95";"33.33";"24.71"
"39";"180º";"FS";"B";"Day 2";64;4;"0.00";"0.00";"33.33";"26.04";"21.67";"33.33";"100.00";"25.56";"3.19";"33.33";"49.42"
"40";"270º";"FS";"B";"Day 2";64;4;"0.00";"0.00";"16.67";"20.05";"16.25";"33.33";"66.67";"21.26";"2.66";"33.33";"24.71"
"41";"0º";"FS";"A";"Day 3";55;2;"0.00";"20.00";"33.33";"34.73";"33.94";"50.00";"100.00";"18.89";"2.55";"30.00";"19.77"
"42";"90º";"FS";"A";"Day 3";55;2;"0.00";"8.33";"16.67";"16.61";"15.86";"20.00";"50.00";"12.43";"1.68";"11.67";"9.88"
"43";"180º";"FS";"A";"Day 3";55;2;"0.00";"16.67";"30.00";"25.88";"27.27";"33.33";"60.00";"13.47";"1.82";"16.67";"14.83"
"44";"270º";"FS";"A";"Day 3";55;2;"0.00";"13.33";"20.00";"22.79";"23.64";"33.33";"66.67";"15.45";"2.08";"20.00";"19.77"
"45";"0º";"FS";"B";"Day 3";54;3;"0.00";"20.00";"26.67";"32.90";"29.80";"40.00";"100.00";"24.91";"3.39";"20.00";"19.77"
"46";"90º";"FS";"B";"Day 3";54;3;"0.00";"0.00";"13.33";"16.60";"13.43";"25.00";"66.67";"16.77";"2.28";"25.00";"19.77"
"47";"180º";"FS";"B";"Day 3";54;3;"0.00";"13.33";"26.67";"26.36";"27.16";"40.00";"66.67";"17.31";"2.35";"26.67";"19.77"
"48";"270º";"FS";"B";"Day 3";54;3;"0.00";"13.33";"20.00";"24.14";"21.86";"33.33";"100.00";"20.01";"2.72";"20.00";"19.77"
