"";"Rotation";"Context";"Day";"n";"NAs";"Min";"1st Qu";"Median";"Mean";"Trimmed(20%)";"3rd Qu";"Max";"SD";"SEM";"IQR";"MAD"
"1";"0º";"A";"Day 1";833;6;"0.00";"16.67";"33.33";"34.03";"31.34";"50.00";"100.00";"24.43";"0.85";"33.33";"24.71"
"2";"90º";"A";"Day 1";833;6;"0.00";"0.00";"16.67";"21.01";"19.03";"33.33";"100.00";"19.44";"0.67";"33.33";"24.71"
"3";"180º";"A";"Day 1";833;6;"0.00";"0.00";"33.33";"26.45";"24.22";"33.33";"100.00";"22.05";"0.76";"33.33";"24.71"
"4";"270º";"A";"Day 1";833;6;"0.00";"0.00";"16.67";"18.51";"16.17";"33.33";"100.00";"18.29";"0.63";"33.33";"24.71"
"5";"0º";"B";"Day 1";577;262;"0.00";"16.67";"33.33";"32.78";"30.69";"50.00";"100.00";"21.04";"0.88";"33.33";"24.71"
"6";"90º";"B";"Day 1";577;262;"0.00";"0.00";"16.67";"19.90";"18.78";"33.33";"83.33";"16.99";"0.71";"33.33";"24.71"
"7";"180º";"B";"Day 1";577;262;"0.00";"16.67";"33.33";"26.63";"26.08";"33.33";"83.33";"19.45";"0.81";"16.67";"24.71"
"8";"270º";"B";"Day 1";577;262;"0.00";"0.00";"16.67";"20.68";"19.74";"33.33";"66.67";"16.80";"0.70";"33.33";"24.71"
"9";"0º";"A";"Day 2";824;9;"0.00";"16.67";"33.33";"29.34";"27.94";"33.33";"100.00";"22.55";"0.79";"16.67";"19.77"
"10";"90º";"A";"Day 2";824;9;"0.00";"0.00";"16.67";"19.92";"16.35";"33.33";"100.00";"21.11";"0.74";"33.33";"24.71"
"11";"180º";"A";"Day 2";824;9;"0.00";"6.67";"33.33";"29.37";"27.36";"40.00";"100.00";"23.06";"0.80";"33.33";"24.71"
"12";"270º";"A";"Day 2";824;9;"0.00";"0.00";"16.67";"21.38";"18.28";"33.33";"100.00";"21.63";"0.75";"33.33";"24.71"
"13";"0º";"B";"Day 2";827;6;"0.00";"16.67";"33.33";"34.77";"33.41";"50.00";"100.00";"22.86";"0.79";"33.33";"24.71"
"14";"90º";"B";"Day 2";827;6;"0.00";"0.00";"16.67";"22.25";"20.36";"33.33";"100.00";"19.50";"0.68";"33.33";"24.71"
"15";"180º";"B";"Day 2";827;6;"0.00";"0.00";"20.00";"23.28";"20.96";"33.33";"100.00";"20.28";"0.71";"33.33";"19.77"
"16";"270º";"B";"Day 2";827;6;"0.00";"0.00";"16.67";"19.69";"17.36";"33.33";"100.00";"18.66";"0.65";"33.33";"24.71"
"17";"0º";"A";"Day 3";627;3;"0.00";"16.67";"30.00";"30.79";"28.76";"40.00";"100.00";"15.99";"0.64";"23.33";"14.83"
"18";"90º";"A";"Day 3";627;3;"0.00";"13.33";"20.00";"21.57";"20.62";"33.33";"83.33";"14.66";"0.59";"20.00";"14.83"
"19";"180º";"A";"Day 3";627;3;"0.00";"16.67";"26.67";"25.43";"25.43";"33.33";"80.00";"15.36";"0.61";"16.67";"14.83"
"20";"270º";"A";"Day 3";627;3;"0.00";"13.33";"20.00";"22.21";"21.89";"33.33";"100.00";"14.70";"0.59";"20.00";"14.83"
"21";"0º";"B";"Day 3";626;4;"0.00";"20.00";"33.33";"34.73";"32.95";"40.00";"100.00";"22.04";"0.88";"20.00";"14.83"
"22";"90º";"B";"Day 3";626;4;"0.00";"0.00";"13.33";"18.26";"16.13";"33.33";"100.00";"17.02";"0.68";"33.33";"19.77"
"23";"180º";"B";"Day 3";626;4;"0.00";"13.33";"26.67";"25.54";"25.08";"33.33";"100.00";"18.76";"0.75";"20.00";"19.77"
"24";"270º";"B";"Day 3";626;4;"0.00";"6.67";"20.00";"21.46";"19.84";"33.33";"100.00";"18.73";"0.75";"26.67";"19.77"
