"";"animalName";"Day";"CellName";"Context";"Rotation";"Proportion";"CellType"
"1";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";"A";"0º";33,3333333;"FI"
"2";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";"A";"90º";33,3333333;"FI"
"3";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";"A";"180º";33,3333333;"FI"
"4";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";"A";"270º";0;"FI"
"5";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";"B";"0º";50;"FI"
"6";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";"B";"90º";0;"FI"
"7";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";"B";"180º";50;"FI"
"8";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_1.t";"B";"270º";0;"FI"
"9";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";"A";"0º";16,6666667;"FI"
"10";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";"A";"90º";33,3333333;"FI"
"11";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";"A";"180º";16,6666667;"FI"
"12";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";"A";"270º";33,3333333;"FI"
"13";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";"B";"0º";16,6666667;"FI"
"14";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";"B";"90º";33,3333333;"FI"
"15";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";"B";"180º";33,3333333;"FI"
"16";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_10.t";"B";"270º";16,6666667;"FI"
"17";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";"A";"0º";0;"FI"
"18";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";"A";"90º";16,6666667;"FI"
"19";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";"A";"180º";66,6666667;"FI"
"20";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";"A";"270º";16,6666667;"FI"
"21";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";"B";"0º";50;"FI"
"22";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";"B";"90º";50;"FI"
"23";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";"B";"180º";0;"FI"
"24";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_100.t";"B";"270º";0;"FI"
"25";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_101.t";"A";"0º";16,6666667;"FI"
"26";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_101.t";"A";"90º";0;"FI"
"27";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_101.t";"A";"180º";83,3333333;"FI"
"28";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_101.t";"A";"270º";0;"FI"
"29";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_101.t";"B";"0º";33,3333333;"FI"
"30";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_101.t";"B";"90º";33,3333333;"FI"
"31";"CMG129_CA1";"Day 1";"CMG129_CA1_s1_CMG129_CA1_s1_101.t";"B";"180º";33,3333333;"FI"
