"";"Subject";"Day";"Decile";"Correlation"
"1";"CMG129_CA1_188";"Day 1.Day 2";"1";0,480451724
"2";"CMG129_CA1_320";"Day 1.Day 2";"1";0,295072799
"3";"CMG129_CA1_4";"Day 1.Day 2";"1";0,572405168
"4";"CMG129_CA1_66";"Day 1.Day 2";"1";0,562265145
"5";"CMG129_CA1_7";"Day 1.Day 2";"1";0,18275236
"6";"CMG154_CA1_103";"Day 1.Day 2";"1";0,595676881
"7";"CMG154_CA1_145";"Day 1.Day 2";"1";0,340009791
"8";"CMG154_CA1_19";"Day 1.Day 2";"1";0,4224738
"9";"CMG154_CA1_203";"Day 1.Day 2";"1";0,6254514
"10";"CMG154_CA1_229";"Day 1.Day 2";"1";0,407410592
"11";"CMG154_CA1_230";"Day 1.Day 2";"1";0,00542005
"12";"CMG154_CA1_240";"Day 1.Day 2";"1";0,243698108
"13";"CMG154_CA1_242";"Day 1.Day 2";"1";0,770628626
"14";"CMG154_CA1_26";"Day 1.Day 2";"1";0,548108762
"15";"CMG154_CA1_282";"Day 1.Day 2";"1";0,546558682
"16";"CMG154_CA1_308";"Day 1.Day 2";"1";0,085675068
"17";"CMG154_CA1_316";"Day 1.Day 2";"1";0,572343769
"18";"CMG154_CA1_354";"Day 1.Day 2";"1";0,127507239
"19";"CMG154_CA1_388";"Day 1.Day 2";"1";0,11154328
"20";"CMG154_CA1_40";"Day 1.Day 2";"1";0,516102698
"21";"CMG154_CA1_49";"Day 1.Day 2";"1";0,732435756
"22";"CMG154_CA1_57";"Day 1.Day 2";"1";0,059074065
"23";"CMG154_CA1_59";"Day 1.Day 2";"1";0,572635917
"24";"CMG154_CA1_64";"Day 1.Day 2";"1";0,702177654
"25";"CMG154_CA1_74";"Day 1.Day 2";"1";0,565513734
"26";"CMG161_CA1_36";"Day 1.Day 2";"1";0,391137106
"27";"CMG161_CA1_42";"Day 1.Day 2";"1";0,324968992
"28";"CMG162_CA1_16";"Day 1.Day 2";"1";0,374293212
"29";"CMG169_CA1_106";"Day 1.Day 2";"1";0,017175751
"30";"CMG169_CA1_109";"Day 1.Day 2";"1";0,149018613
