"";"Subject";"Day";"Accuracy"
"1";"AK42_CA1";"Day 1";0,555555556
"2";"AK74_CA1";"Day 1";0,5
"3";"CMG159_recut";"Day 1";0,5
"4";"HGY1_recut";"Day 1";0,571428571
"5";"JJ9_CA1";"Day 1";1
"6";"K1_CA1";"Day 1";0,5
"7";"MG1";"Day 1";0,666666667
"8";"CMG129_CA1";"Day 1";0
"9";"CMG154_CA1";"Day 1";0,666666667
"10";"CMG161_CA1";"Day 1";0,285714286
"11";"CMG162_CA1";"Day 1";0,75
"12";"CMG169_CA1";"Day 1";1
"13";"AK42_CA1";"Day 2";0,571428571
"14";"AK74_CA1";"Day 2";0,75
"15";"CMG159_recut";"Day 2";0,75
"16";"JJ9_CA1";"Day 2";0,5
"17";"K1_CA1";"Day 2";0,5
"18";"MG1";"Day 2";0,636363636
"19";"CMG129_CA1";"Day 2";0,8
"20";"CMG154_CA1";"Day 2";0,428571429
"21";"CMG161_CA1";"Day 2";0,4
"22";"CMG162_CA1";"Day 2";0,625
"23";"CMG169_CA1";"Day 2";0,666666667
"24";"AK42_CA1";"Day 3";0,5
"25";"AK74_CA1";"Day 3";0,5
"26";"CMG159_recut";"Day 3";0,5
"27";"JJ9_CA1";"Day 3";0,818181818
"28";"K1_CA1";"Day 3";0,75
"29";"MG1";"Day 3";0,181818182
"30";"CMG129_CA1";"Day 3";1
"31";"CMG154_CA1";"Day 3";0,8
"32";"CMG161_CA1";"Day 3";0,857142857
"33";"CMG162_CA1";"Day 3";0,8
"34";"CMG169_CA1";"Day 3";1
