"";"Subject";"sessionName";"Day";"groupId";"Accuracy";"nCellsUsed";"isCalcium";"nDigs"
"1";"AK42_CA1";"d7";"Day 1";1;1;11;FALSE;3
"2";"AK74_CA1";"d1";"Day 1";1;1;3;FALSE;2
"3";"CMG159_recut";"s6";"Day 1";1;1;28;FALSE;2
"4";"JJ9_CA1";"d1";"Day 1";1;0,333333333;7;FALSE;3
"5";"K1_CA1";"d1";"Day 1";1;0,333333333;6;FALSE;3
"6";"MG1";"d6";"Day 1";1;0;13;FALSE;3
"7";"CMG129_CA1";"s1";"Day 1";1;1;189;TRUE;2
"8";"CMG162_CA1";"s1";"Day 1";1;0,75;171;TRUE;4
"9";"CMG169_CA1";"s1";"Day 1";1;0,333333333;173;TRUE;3
"10";"AK42_CA1";"d8";"Day 2";2;0,6;6;FALSE;5
"11";"AK74_CA1";"d2";"Day 2";2;0,75;2;FALSE;4
"12";"CMG159_recut";"s7";"Day 2";2;0,333333333;23;FALSE;3
"13";"JJ9_CA1";"d2";"Day 2";2;1;11;FALSE;4
"14";"K1_CA1";"d2";"Day 2";2;0;12;FALSE;2
"15";"CMG129_CA1";"s2";"Day 2";2;0,333333333;165;TRUE;3
"16";"CMG161_CA1";"s2";"Day 2";2;1;36;TRUE;3
"17";"CMG162_CA1";"s4";"Day 2";2;0;199;TRUE;4
"18";"AK42_CA1";"d9";"Day 3";3;0,75;11;FALSE;4
"19";"AK74_CA1";"d3";"Day 3";3;1;5;FALSE;4
"20";"CMG159_recut";"s8";"Day 3";3;0,5;16;FALSE;4
"21";"K1_CA1";"d4";"Day 3";3;1;2;FALSE;3
"22";"CMG129_CA1";"s3";"Day 3";3;0;124;TRUE;8
"23";"CMG154_CA1";"s3";"Day 3";3;1;209;TRUE;2
"24";"CMG161_CA1";"s3";"Day 3";3;0;25;TRUE;5
"25";"CMG162_CA1";"s5";"Day 3";3;1;139;TRUE;2
"26";"CMG169_CA1";"s3";"Day 3";3;0;118;TRUE;4
