"";"Subject";"Day";"Accuracy"
"1";"AK42_CA1";"Day 1";1
"2";"AK74_CA1";"Day 1";1
"3";"CMG159_recut";"Day 1";1
"4";"JJ9_CA1";"Day 1";0,333333333
"5";"K1_CA1";"Day 1";0,333333333
"6";"MG1";"Day 1";0
"7";"CMG129_CA1";"Day 1";1
"8";"CMG162_CA1";"Day 1";0,75
"9";"CMG169_CA1";"Day 1";0,333333333
"10";"AK42_CA1";"Day 2";0,6
"11";"AK74_CA1";"Day 2";0,75
"12";"CMG159_recut";"Day 2";0,333333333
"13";"JJ9_CA1";"Day 2";1
"14";"K1_CA1";"Day 2";0
"15";"CMG129_CA1";"Day 2";0,333333333
"16";"CMG161_CA1";"Day 2";1
"17";"CMG162_CA1";"Day 2";0
"18";"AK42_CA1";"Day 3";0,75
"19";"AK74_CA1";"Day 3";1
"20";"CMG159_recut";"Day 3";0,5
"21";"K1_CA1";"Day 3";1
"22";"CMG129_CA1";"Day 3";0
"23";"CMG154_CA1";"Day 3";1
"24";"CMG161_CA1";"Day 3";0
"25";"CMG162_CA1";"Day 3";1
"26";"CMG169_CA1";"Day 3";0
