"";"Day";"Subject";"Dig";"N";"Perc"
"1";"Day 1";"AK42";"Correct";2;50
"2";"Day 1";"AK42";"Geo";2;50
"3";"Day 1";"AK42";"Near";0;0
"4";"Day 1";"AK42";"Far";0;0
"5";"Day 2";"AK42";"Correct";5;41,6666666666667
"6";"Day 2";"AK42";"Geo";2;16,6666666666667
"7";"Day 2";"AK42";"Near";3;25
"8";"Day 2";"AK42";"Far";2;16,6666666666667
"9";"Day 3";"AK42";"Correct";3;25
"10";"Day 3";"AK42";"Geo";5;41,6666666666667
"11";"Day 3";"AK42";"Near";1;8,33333333333333
"12";"Day 3";"AK42";"Far";3;25
"13";"Day 1";"AK74";"Correct";0;0
"14";"Day 1";"AK74";"Geo";3;75
"15";"Day 1";"AK74";"Near";0;0
"16";"Day 1";"AK74";"Far";1;25
"17";"Day 2";"AK74";"Correct";6;50
"18";"Day 2";"AK74";"Geo";2;16,6666666666667
"19";"Day 2";"AK74";"Near";1;8,33333333333333
"20";"Day 2";"AK74";"Far";3;25
"21";"Day 3";"AK74";"Correct";4;33,3333333333333
"22";"Day 3";"AK74";"Geo";4;33,3333333333333
"23";"Day 3";"AK74";"Near";4;33,3333333333333
"24";"Day 3";"AK74";"Far";0;0
"25";"Day 1";"CMG087";"Correct";2;50
"26";"Day 1";"CMG087";"Geo";2;50
"27";"Day 1";"CMG087";"Near";0;0
"28";"Day 1";"CMG087";"Far";0;0
"29";"Day 2";"CMG087";"Correct";3;37,5
"30";"Day 2";"CMG087";"Geo";3;37,5
"31";"Day 2";"CMG087";"Near";1;12,5
"32";"Day 2";"CMG087";"Far";1;12,5
"33";"Day 3";"CMG087";"Correct";4;33,3333333333333
"34";"Day 3";"CMG087";"Geo";4;33,3333333333333
"35";"Day 3";"CMG087";"Near";3;25
"36";"Day 3";"CMG087";"Far";1;8,33333333333333
"37";"Day 1";"CMG089";"Correct";1;25
"38";"Day 1";"CMG089";"Geo";2;50
"39";"Day 1";"CMG089";"Near";0;0
"40";"Day 1";"CMG089";"Far";1;25
