"";"Dig";"Day";"n";"NAs";"Min";"1st Qu";"Median";"Mean";"Trimmed(20%)";"3rd Qu";"Max";"SD";"SEM";"IQR";"MAD"
"1";"Correct";"Day 1";14;0;"0.00";"25.00";"29.17";"36.31";"35.83";"50.00";"75.00";"23.25";"6.21";"25.00";"30.89"
"2";"Geo";"Day 1";14;0;"0.00";"25.00";"50.00";"41.67";"40.83";"50.00";"75.00";"20.67";"5.52";"25.00";"30.89"
"3";"Near";"Day 1";14;0;"0.00";"0.00";"0.00";"10.71";"7.50";"25.00";"50.00";"16.16";"4.32";"25.00";"0.00"
"4";"Far";"Day 1";14;0;"0.00";"0.00";"0.00";"11.31";"7.50";"25.00";"50.00";"16.86";"4.51";"25.00";"0.00"
"5";"Correct";"Day 2";14;0;"37.50";"43.75";"50.00";"51.21";"50.87";"56.49";"66.67";"9.78";"2.61";"12.74";"11.47"
"6";"Geo";"Day 2";14;0;"12.50";"17.05";"25.00";"25.30";"24.47";"33.33";"42.86";"9.36";"2.50";"16.29";"12.35"
"7";"Near";"Day 2";14;0;"0.00";"0.00";"8.71";"11.66";"9.24";"15.62";"37.50";"12.56";"3.36";"15.62";"12.92"
"8";"Far";"Day 2";14;0;"0.00";"2.08";"14.58";"11.82";"11.55";"17.80";"25.00";"9.13";"2.44";"15.72";"9.27"
"9";"Correct";"Day 3";14;0;"14.29";"33.33";"45.83";"48.13";"48.03";"63.64";"87.50";"20.27";"5.42";"30.30";"22.46"
"10";"Geo";"Day 3";14;0;"0.00";"13.54";"25.00";"24.24";"23.22";"33.33";"57.14";"15.11";"4.04";"19.79";"12.36"
"11";"Near";"Day 3";14;0;"0.00";"8.33";"16.67";"14.07";"13.64";"18.18";"33.33";"10.42";"2.78";"9.85";"12.35"
"12";"Far";"Day 3";14;0;"0.00";"0.00";"13.26";"13.57";"12.80";"25.00";"33.33";"12.48";"3.34";"25.00";"18.53"
