"";"CellType";"Day";"Corr"
"1";"FI";"Day 1";0,553885068
"2";"FI";"Day 1";0,601239395
"3";"FI";"Day 1";0,646330345
"4";"FI";"Day 1";0,688462526
"5";"FI";"Day 1";0,722356867
"6";"FI";"Day 1";0,745458426
"7";"FI";"Day 1";0,754214779
"8";"FI";"Day 1";0,748165092
"9";"FI";"Day 1";0,732058323
"10";"FI";"Day 1";0,712878392
"11";"FI";"Day 1";0,6979768
"12";"FI";"Day 1";0,690978757
"13";"FI";"Day 1";0,691449662
"14";"FI";"Day 1";0,696068546
"15";"FI";"Day 1";0,700960323
"16";"FI";"Day 1";0,700486061
"17";"FI";"Day 1";0,699445373
"18";"FI";"Day 1";0,699606571
"19";"FI";"Day 1";0,705378257
"20";"FI";"Day 1";0,711593181
"21";"FI";"Day 1";0,715603891
"22";"FI";"Day 1";0,714455321
"23";"FI";"Day 1";0,709557899
"24";"FI";"Day 1";0,703553385
"25";"FI";"Day 1";0,698541078
"26";"FI";"Day 1";0,692226362
"27";"FI";"Day 1";0,681588861
"28";"FI";"Day 1";0,661491219
"29";"FI";"Day 1";0,628632246
"30";"FI";"Day 1";0,583355502
"31";"FI";"Day 1";0,52820291
"32";"FI";"Day 1";0,603724609
"33";"FI";"Day 1";0,648401888
"34";"FI";"Day 1";0,68920347
"35";"FI";"Day 1";0,726451665
"36";"FI";"Day 1";0,756559048
"37";"FI";"Day 1";0,778622015
"38";"FI";"Day 1";0,790331717
"39";"FI";"Day 1";0,790439824
"40";"FI";"Day 1";0,780990736
"41";"FI";"Day 1";0,766468659
"42";"FI";"Day 1";0,753309841
"43";"FI";"Day 1";0,745872952
"44";"FI";"Day 1";0,743855907
"45";"FI";"Day 1";0,743828811
"46";"FI";"Day 1";0,742657764
"47";"FI";"Day 1";0,736227045
"48";"FI";"Day 1";0,731139932
"49";"FI";"Day 1";0,730164217
"50";"FI";"Day 1";0,735937003
"51";"FI";"Day 1";0,744184189
"52";"FI";"Day 1";0,751665064
"53";"FI";"Day 1";0,75485463
"54";"FI";"Day 1";0,753020717
"55";"FI";"Day 1";0,748297258
"56";"FI";"Day 1";0,742795183
"57";"FI";"Day 1";0,735229891
"58";"FI";"Day 1";0,72318177
"59";"FI";"Day 1";0,702137165
"60";"FI";"Day 1";0,669241527
"61";"FI";"Day 1";0,625083673
"62";"FI";"Day 1";0,571599114
"63";"FI";"Day 1";0,651406224
"64";"FI";"Day 1";0,693120157
"65";"FI";"Day 1";0,72962006
"66";"FI";"Day 1";0,761968183
"67";"FI";"Day 1";0,787962269
"68";"FI";"Day 1";0,807855434
"69";"FI";"Day 1";0,820477191
"70";"FI";"Day 1";0,824563608
"71";"FI";"Day 1";0,820695657
"72";"FI";"Day 1";0,811212638
"73";"FI";"Day 1";0,800948696
"74";"FI";"Day 1";0,794223962
"75";"FI";"Day 1";0,79063553
"76";"FI";"Day 1";0,78710877
"77";"FI";"Day 1";0,781368311
"78";"FI";"Day 1";0,770597864
"79";"FI";"Day 1";0,762014233
"80";"FI";"Day 1";0,759326014
"81";"FI";"Day 1";0,764115987
"82";"FI";"Day 1";0,77346095
"83";"FI";"Day 1";0,78384812
"84";"FI";"Day 1";0,791431812
"85";"FI";"Day 1";0,793713171
"86";"FI";"Day 1";0,791667612
"87";"FI";"Day 1";0,786907048
"88";"FI";"Day 1";0,778949657
"89";"FI";"Day 1";0,766038648
"90";"FI";"Day 1";0,744473171
"91";"FI";"Day 1";0,711918052
"92";"FI";"Day 1";0,669179141
"93";"FI";"Day 1";0,617672959
"94";"FI";"Day 1";0,692495075
"95";"FI";"Day 1";0,731731734
"96";"FI";"Day 1";0,764832676
"97";"FI";"Day 1";0,793212996
"98";"FI";"Day 1";0,815702793
"99";"FI";"Day 1";0,833203132
"100";"FI";"Day 1";0,845414697
"101";"FI";"Day 1";0,851407759
"102";"FI";"Day 1";0,85125687
"103";"FI";"Day 1";0,845882522
"104";"FI";"Day 1";0,838501784
"105";"FI";"Day 1";0,833064408
"106";"FI";"Day 1";0,828981076
"107";"FI";"Day 1";0,823830163
"108";"FI";"Day 1";0,815888945
"109";"FI";"Day 1";0,803078539
"110";"FI";"Day 1";0,79212853
"111";"FI";"Day 1";0,78762345
"112";"FI";"Day 1";0,790857269
"113";"FI";"Day 1";0,800474934
"114";"FI";"Day 1";0,813043217
"115";"FI";"Day 1";0,824486316
"116";"FI";"Day 1";0,830883239
"117";"FI";"Day 1";0,831759907
"118";"FI";"Day 1";0,828044234
"119";"FI";"Day 1";0,819939402
"120";"FI";"Day 1";0,806507096
"121";"FI";"Day 1";0,785015893
"122";"FI";"Day 1";0,753637758
"123";"FI";"Day 1";0,713134904
"124";"FI";"Day 1";0,664337013
"125";"FI";"Day 1";0,725394476
"126";"FI";"Day 1";0,763134168
"127";"FI";"Day 1";0,794199027
"128";"FI";"Day 1";0,820008344
"129";"FI";"Day 1";0,840008379
"130";"FI";"Day 1";0,855374407
"131";"FI";"Day 1";0,866420614
"132";"FI";"Day 1";0,872691992
"133";"FI";"Day 1";0,874304089
"134";"FI";"Day 1";0,871424684
"135";"FI";"Day 1";0,866051637
"136";"FI";"Day 1";0,861738302
"137";"FI";"Day 1";0,857824151
"138";"FI";"Day 1";0,852633639
"139";"FI";"Day 1";0,844523177
"140";"FI";"Day 1";0,831779083
"141";"FI";"Day 1";0,819846938
"142";"FI";"Day 1";0,814006799
"143";"FI";"Day 1";0,815696892
"144";"FI";"Day 1";0,825062513
"145";"FI";"Day 1";0,83897755
"146";"FI";"Day 1";0,853262616
"147";"FI";"Day 1";0,863000384
"148";"FI";"Day 1";0,866263582
"149";"FI";"Day 1";0,863281647
"150";"FI";"Day 1";0,854868085
"151";"FI";"Day 1";0,841013159
"152";"FI";"Day 1";0,819998199
"153";"FI";"Day 1";0,790438469
"154";"FI";"Day 1";0,752733295
"155";"FI";"Day 1";0,707144484
"156";"FI";"Day 1";0,747369186
"157";"FI";"Day 1";0,784903074
"158";"FI";"Day 1";0,815577682
"159";"FI";"Day 1";0,84054304
"160";"FI";"Day 1";0,859438496
"161";"FI";"Day 1";0,873417579
"162";"FI";"Day 1";0,883196468
"163";"FI";"Day 1";0,888806208
"164";"FI";"Day 1";0,890670575
"165";"FI";"Day 1";0,888667491
"166";"FI";"Day 1";0,884084449
"167";"FI";"Day 1";0,880232921
"168";"FI";"Day 1";0,876615577
"169";"FI";"Day 1";0,872285596
"170";"FI";"Day 1";0,865349359
"171";"FI";"Day 1";0,854251691
"172";"FI";"Day 1";0,842806579
"173";"FI";"Day 1";0,836551634
"174";"FI";"Day 1";0,837252907
"175";"FI";"Day 1";0,846064234
"176";"FI";"Day 1";0,860370179
"177";"FI";"Day 1";0,875914681
"178";"FI";"Day 1";0,88732045
"179";"FI";"Day 1";0,891657972
"180";"FI";"Day 1";0,888734496
"181";"FI";"Day 1";0,879839958
"182";"FI";"Day 1";0,86580652
"183";"FI";"Day 1";0,84576869
"184";"FI";"Day 1";0,818650063
"185";"FI";"Day 1";0,784220759
"186";"FI";"Day 1";0,742260118
"187";"FI";"Day 1";0,759719404
"188";"FI";"Day 1";0,797971486
"189";"FI";"Day 1";0,829367355
"190";"FI";"Day 1";0,854678599
"191";"FI";"Day 1";0,873460722
"192";"FI";"Day 1";0,886766092
"193";"FI";"Day 1";0,895570378
"194";"FI";"Day 1";0,900344018
"195";"FI";"Day 1";0,90180675
"196";"FI";"Day 1";0,899757379
"197";"FI";"Day 1";0,895178402
"198";"FI";"Day 1";0,891266108
"199";"FI";"Day 1";0,887852186
"200";"FI";"Day 1";0,884600191
"201";"FI";"Day 1";0,879297626
"202";"FI";"Day 1";0,870655166
"203";"FI";"Day 1";0,860958984
"204";"FI";"Day 1";0,855493427
"205";"FI";"Day 1";0,856150952
"206";"FI";"Day 1";0,86437345
"207";"FI";"Day 1";0,878126971
"208";"FI";"Day 1";0,893263883
"209";"FI";"Day 1";0,904378457
"210";"FI";"Day 1";0,90817883
"211";"FI";"Day 1";0,904371911
"212";"FI";"Day 1";0,894557779
"213";"FI";"Day 1";0,880149245
"214";"FI";"Day 1";0,860933283
"215";"FI";"Day 1";0,836048635
"216";"FI";"Day 1";0,804607469
"217";"FI";"Day 1";0,766174183
"218";"FI";"Day 1";0,764749811
"219";"FI";"Day 1";0,803816424
"220";"FI";"Day 1";0,836201859
"221";"FI";"Day 1";0,862334401
"222";"FI";"Day 1";0,881603672
"223";"FI";"Day 1";0,894942728
"224";"FI";"Day 1";0,903392315
"225";"FI";"Day 1";0,90771078
"226";"FI";"Day 1";0,908776638
"227";"FI";"Day 1";0,906391675
"228";"FI";"Day 1";0,901579928
"229";"FI";"Day 1";0,897460503
"230";"FI";"Day 1";0,894252982
"231";"FI";"Day 1";0,891911437
"232";"FI";"Day 1";0,888028628
"233";"FI";"Day 1";0,881788015
"234";"FI";"Day 1";0,874558338
"235";"FI";"Day 1";0,871022643
"236";"FI";"Day 1";0,872847167
"237";"FI";"Day 1";0,880917742
"238";"FI";"Day 1";0,893470214
"239";"FI";"Day 1";0,906625762
"240";"FI";"Day 1";0,915394748
"241";"FI";"Day 1";0,916965277
"242";"FI";"Day 1";0,911340368
"243";"FI";"Day 1";0,900237048
"244";"FI";"Day 1";0,885213165
"245";"FI";"Day 1";0,866381289
"246";"FI";"Day 1";0,843042772
"247";"FI";"Day 1";0,813857544
"248";"FI";"Day 1";0,778428967
"249";"FI";"Day 1";0,767123245
"250";"FI";"Day 1";0,806390849
"251";"FI";"Day 1";0,839353203
"252";"FI";"Day 1";0,866133543
"253";"FI";"Day 1";0,885981417
"254";"FI";"Day 1";0,899694343
"255";"FI";"Day 1";0,908181574
"256";"FI";"Day 1";0,912326709
"257";"FI";"Day 1";0,913037765
"258";"FI";"Day 1";0,91022625
"259";"FI";"Day 1";0,90514644
"260";"FI";"Day 1";0,900776751
"261";"FI";"Day 1";0,897640385
"262";"FI";"Day 1";0,895649551
"263";"FI";"Day 1";0,892575556
"264";"FI";"Day 1";0,888163997
"265";"FI";"Day 1";0,883498313
"266";"FI";"Day 1";0,882463526
"267";"FI";"Day 1";0,886157997
"268";"FI";"Day 1";0,894479244
"269";"FI";"Day 1";0,905592729
"270";"FI";"Day 1";0,91608548
"271";"FI";"Day 1";0,921640217
"272";"FI";"Day 1";0,920398559
"273";"FI";"Day 1";0,912824135
"274";"FI";"Day 1";0,900558172
"275";"FI";"Day 1";0,884876544
"276";"FI";"Day 1";0,865978189
"277";"FI";"Day 1";0,843286085
"278";"FI";"Day 1";0,815341628
"279";"FI";"Day 1";0,782043019
"280";"FI";"Day 1";0,768151976
"281";"FI";"Day 1";0,807242506
"282";"FI";"Day 1";0,840604082
"283";"FI";"Day 1";0,867932332
"284";"FI";"Day 1";0,888394721
"285";"FI";"Day 1";0,902576185
"286";"FI";"Day 1";0,911154347
"287";"FI";"Day 1";0,915057861
"288";"FI";"Day 1";0,915253198
"289";"FI";"Day 1";0,911932436
"290";"FI";"Day 1";0,906610774
"291";"FI";"Day 1";0,902031836
"292";"FI";"Day 1";0,898839524
"293";"FI";"Day 1";0,896711562
"294";"FI";"Day 1";0,894016509
"295";"FI";"Day 1";0,89100299
"296";"FI";"Day 1";0,888648946
