"";"animal";"Class";"Day";"Rate"
"1";"d1_s1";"within";"Day 1";0,227230811
"2";"d1_s2";"within";"Day 1";0,040877317
"3";"d1_s3";"within";"Day 1";0,093860472
"4";"d1_s4";"within";"Day 1";0,260589788
"5";"d1_s5";"within";"Day 1";0,12323631
"6";"d1_s6";"within";"Day 1";0,112143021
"7";"d1_s7";"within";"Day 1";0,086994319
"8";"d1_s8";"within";"Day 1";0,088358827
"9";"d1_s9";"within";"Day 1";0,203120274
"10";"d1_s10";"within";"Day 1";0,177901835
"11";"d1_s11";"within";"Day 1";0,282843308
"12";"d1_s12";"within";"Day 1";0,076591261
"13";"d1_s13";"within";"Day 1";0,069770616
"14";"d1_s14";"within";"Day 1";0,142658973
"15";"d1_s15";"within";"Day 1";0,079207676
"16";"d1_s16";"within";"Day 1";0,055116883
"17";"d1_s17";"within";"Day 1";0,052224149
"18";"d1_s18";"within";"Day 1";0,131623585
"19";"d1_s19";"within";"Day 1";0,195807342
"20";"d1_s20";"within";"Day 1";0,062013706
"21";"d1_s21";"within";"Day 1";0,094361384
"22";"d1_s22";"within";"Day 1";0,151323964
"23";"d1_s23";"within";"Day 1";0,150858717
"24";"d1_s24";"within";"Day 1";0,303380484
"25";"d1_s25";"within";"Day 1";0,059088303
"26";"d1_s26";"within";"Day 1";0,120831977
"27";"d1_s27";"within";"Day 1";0,088229408
"28";"d1_s28";"within";"Day 1";0,148301635
"29";"d1_s29";"within";"Day 1";0,075343247
"30";"d1_s30";"within";"Day 1";0,244840107
"31";"d1_s31";"within";"Day 1";0,060069549
"32";"d1_s32";"within";"Day 1";0,089470589
"33";"d1_s33";"within";"Day 1";0,253385175
"34";"d1_s34";"within";"Day 1";0,162124343
"35";"d1_s35";"within";"Day 1";0,359519909
"36";"d1_s36";"within";"Day 1";0,668201424
"37";"d1_s37";"within";"Day 1";0,513490249
"38";"d1_s38";"within";"Day 1";0,132092016
"39";"d1_s39";"within";"Day 1";0,330308422
