"";"Context";"Subject";"Day";"CellType";"Rate"
"1";"Within";"AK42_CA1_d7_TT2_02.t";"Day 1";"FI";0,227230811
"2";"Within";"AK42_CA1_d7_TT2_03.t";"Day 1";"FI";0,040877317
"3";"Within";"AK42_CA1_d7_TT2_04.t";"Day 1";"FI";0,093860472
"4";"Within";"AK42_CA1_d7_TT2_05.t";"Day 1";"FI";0,260589788
"5";"Within";"AK42_CA1_d7_TT4_03.t";"Day 1";"FI";0,12323631
"6";"Within";"AK42_CA1_d7_TT4_04.t";"Day 1";"FI";0,112143021
"7";"Within";"AK42_CA1_d7_TT5_01.t";"Day 1";"FI";0,086994319
"8";"Within";"AK42_CA1_d7_TT5_02.t";"Day 1";"FI";0,088358827
"9";"Within";"AK42_CA1_d7_TT5_03.t";"Day 1";"FI";0,203120274
"10";"Within";"AK42_CA1_d7_TT5_04.t";"Day 1";"FI";0,177901835
"11";"Within";"AK42_CA1_d7_TT5_05.t";"Day 1";"FI";0,282843308
"12";"Within";"AK74_CA1_d1_TT4_02.t";"Day 1";"FI";0,076591261
"13";"Within";"AK74_CA1_d1_TT4_06.t";"Day 1";"FI";0,142658973
"14";"Within";"CMG159_recut_s6_TT1_1.t";"Day 1";"FI";0,079207676
"15";"Within";"CMG159_recut_s6_TT1_2.t";"Day 1";"FI";0,055116883
"16";"Within";"CMG159_recut_s6_TT1_5.t";"Day 1";"FI";0,131623585
"17";"Within";"CMG159_recut_s6_TT1_6.t";"Day 1";"FI";0,195807342
"18";"Within";"CMG159_recut_s6_TT1_7.t";"Day 1";"FI";0,062013706
"19";"Within";"CMG159_recut_s6_TT2_3.t";"Day 1";"FI";0,150858717
"20";"Within";"CMG159_recut_s6_TT2_4.t";"Day 1";"FI";0,303380484
"21";"Within";"CMG159_recut_s6_TT2_5.t";"Day 1";"FI";0,059088303
"22";"Within";"CMG159_recut_s6_TT2_6.t";"Day 1";"FI";0,120831977
"23";"Within";"CMG159_recut_s6_TT2_7.t";"Day 1";"FI";0,088229408
"24";"Within";"CMG159_recut_s6_TT2_8.t";"Day 1";"FI";0,148301635
"25";"Within";"CMG159_recut_s6_TT4_2.t";"Day 1";"FI";0,244840107
"26";"Within";"CMG159_recut_s6_TT4_3.t";"Day 1";"FI";0,060069549
"27";"Within";"CMG159_recut_s6_TT4_4.t";"Day 1";"FI";0,089470589
"28";"Within";"CMG159_recut_s6_TT4_5.t";"Day 1";"FI";0,253385175
"29";"Within";"CMG159_recut_s6_TT4_6.t";"Day 1";"FI";0,162124343
"30";"Within";"CMG159_recut_s6_TT6_1.t";"Day 1";"FI";0,359519909
"31";"Within";"CMG159_recut_s6_TT6_2.t";"Day 1";"FI";0,668201424
"32";"Within";"CMG159_recut_s6_TT6_3.t";"Day 1";"FI";0,513490249
"33";"Within";"CMG159_recut_s6_TT6_4.t";"Day 1";"FI";0,132092016
"34";"Within";"CMG159_recut_s6_TT6_5.t";"Day 1";"FI";0,330308422
"35";"Within";"CMG159_recut_s6_TT6_6.t";"Day 1";"FI";0,054203957
"36";"Within";"CMG159_recut_s6_TT6_8.t";"Day 1";"FI";0,184158118
"37";"Within";"HGY1_recut_d1_TT2_1.t";"Day 1";"FI";0,37395412
"38";"Within";"HGY1_recut_d1_TT4_1.t";"Day 1";"FI";0,122017706
"39";"Within";"HGY1_recut_d1_TT4_2.t";"Day 1";"FI";0,123403021
"40";"Within";"HGY1_recut_d1_TT4_3.t";"Day 1";"FI";0,153904692
"41";"Within";"HGY1_recut_d1_TT4_4.t";"Day 1";"FI";0,057138004
"42";"Within";"HGY1_recut_d1_TT4_6.t";"Day 1";"FI";0,046175158
"43";"Within";"HGY1_recut_d1_TT5_1.t";"Day 1";"FI";0,114326351
"44";"Within";"HGY1_recut_d1_TT5_2.t";"Day 1";"FI";0,42020072
"45";"Within";"HGY1_recut_d1_TT5_3.t";"Day 1";"FI";0,350235715
"46";"Within";"HGY1_recut_d1_TT5_4.t";"Day 1";"FI";0,426077993
"47";"Within";"HGY1_recut_d1_TT5_5.t";"Day 1";"FI";0,108370747
"48";"Within";"HGY1_recut_d1_TT5_6.t";"Day 1";"FI";0,173629559
"49";"Within";"HGY1_recut_d1_TT5_7.t";"Day 1";"FI";0,16008853
"50";"Within";"JJ9_CA1_d1_TT2_02.t";"Day 1";"FI";0,118127827
"51";"Within";"JJ9_CA1_d1_TT2_06.t";"Day 1";"FI";0,035799928
"52";"Within";"JJ9_CA1_d1_TT5_01.t";"Day 1";"FI";0,093454449
"53";"Within";"JJ9_CA1_d1_TT5_02.t";"Day 1";"FI";0,042213142
"54";"Within";"JJ9_CA1_d1_TT5_03.t";"Day 1";"FI";0,236850248
"55";"Within";"JJ9_CA1_d1_TT5_04.t";"Day 1";"FI";0,342423904
"56";"Within";"JJ9_CA1_d1_TT5_05.t";"Day 1";"FI";0,172360204
"57";"Within";"JJ9_CA1_d1_TT5_06.t";"Day 1";"FI";0,397991634
"58";"Within";"K1_CA1_d1_TT1_1.t";"Day 1";"FI";0,073956311
"59";"Within";"K1_CA1_d1_TT2_1.t";"Day 1";"FI";0,084155078
"60";"Within";"K1_CA1_d1_TT2_2.t";"Day 1";"FI";0,230760532
"61";"Within";"K1_CA1_d1_TT2_3.t";"Day 1";"FI";0,087426689
"62";"Within";"K1_CA1_d1_TT3_1.t";"Day 1";"FI";0,13184681
"63";"Within";"K1_CA1_d1_TT3_2.t";"Day 1";"FI";0,379142151
"64";"Within";"K1_CA1_d1_TT3_4.t";"Day 1";"FI";0,050680519
"65";"Within";"MG1_d6_TT3_1.t";"Day 1";"FI";0,108375187
"66";"Within";"MG1_d6_TT3_10.t";"Day 1";"FI";0,050377957
"67";"Within";"MG1_d6_TT3_11.t";"Day 1";"FI";0,086549616
"68";"Within";"MG1_d6_TT3_13.t";"Day 1";"FI";0,065538786
"69";"Within";"MG1_d6_TT3_2.t";"Day 1";"FI";0,293314706
"70";"Within";"MG1_d6_TT3_3.t";"Day 1";"FI";0,089483131
"71";"Within";"MG1_d6_TT3_4.t";"Day 1";"FI";0,077777101
"72";"Within";"MG1_d6_TT3_5.t";"Day 1";"FI";0,321890685
"73";"Within";"MG1_d6_TT3_6.t";"Day 1";"FI";0,274178792
"74";"Within";"MG1_d6_TT3_7.t";"Day 1";"FI";0,349999567
