"";"Subject";"Day";"Context";"Rate"
"1";"AK42_CA1_d7_TT2_02.t";"Day 1";"Within";0,227230811
"2";"AK42_CA1_d7_TT2_03.t";"Day 1";"Within";0,040877317
"3";"AK42_CA1_d7_TT2_04.t";"Day 1";"Within";0,093860472
"4";"AK42_CA1_d7_TT2_05.t";"Day 1";"Within";0,260589788
"5";"AK42_CA1_d7_TT4_03.t";"Day 1";"Within";0,12323631
"6";"AK42_CA1_d7_TT4_04.t";"Day 1";"Within";0,112143021
"7";"AK42_CA1_d7_TT5_01.t";"Day 1";"Within";0,086994319
"8";"AK42_CA1_d7_TT5_02.t";"Day 1";"Within";0,088358827
"9";"AK42_CA1_d7_TT5_03.t";"Day 1";"Within";0,203120274
"10";"AK42_CA1_d7_TT5_04.t";"Day 1";"Within";0,177901835
"11";"AK42_CA1_d7_TT5_05.t";"Day 1";"Within";0,282843308
"12";"AK74_CA1_d1_TT4_02.t";"Day 1";"Within";0,076591261
"13";"AK74_CA1_d1_TT4_06.t";"Day 1";"Within";0,142658973
"14";"CMG159_recut_s6_TT1_1.t";"Day 1";"Within";0,079207676
"15";"CMG159_recut_s6_TT1_2.t";"Day 1";"Within";0,055116883
"16";"CMG159_recut_s6_TT1_5.t";"Day 1";"Within";0,131623585
"17";"CMG159_recut_s6_TT1_6.t";"Day 1";"Within";0,195807342
"18";"CMG159_recut_s6_TT1_7.t";"Day 1";"Within";0,062013706
"19";"CMG159_recut_s6_TT2_3.t";"Day 1";"Within";0,150858717
"20";"CMG159_recut_s6_TT2_4.t";"Day 1";"Within";0,303380484
"21";"CMG159_recut_s6_TT2_5.t";"Day 1";"Within";0,059088303
"22";"CMG159_recut_s6_TT2_6.t";"Day 1";"Within";0,120831977
"23";"CMG159_recut_s6_TT2_7.t";"Day 1";"Within";0,088229408
"24";"CMG159_recut_s6_TT2_8.t";"Day 1";"Within";0,148301635
"25";"CMG159_recut_s6_TT4_2.t";"Day 1";"Within";0,244840107
"26";"CMG159_recut_s6_TT4_3.t";"Day 1";"Within";0,060069549
"27";"CMG159_recut_s6_TT4_4.t";"Day 1";"Within";0,089470589
"28";"CMG159_recut_s6_TT4_5.t";"Day 1";"Within";0,253385175
"29";"CMG159_recut_s6_TT4_6.t";"Day 1";"Within";0,162124343
"30";"CMG159_recut_s6_TT6_1.t";"Day 1";"Within";0,359519909
"31";"CMG159_recut_s6_TT6_2.t";"Day 1";"Within";0,668201424
"32";"CMG159_recut_s6_TT6_3.t";"Day 1";"Within";0,513490249
"33";"CMG159_recut_s6_TT6_4.t";"Day 1";"Within";0,132092016
"34";"CMG159_recut_s6_TT6_5.t";"Day 1";"Within";0,330308422
"35";"CMG159_recut_s6_TT6_6.t";"Day 1";"Within";0,054203957
"36";"CMG159_recut_s6_TT6_8.t";"Day 1";"Within";0,184158118
"37";"HGY1_recut_d1_TT2_1.t";"Day 1";"Within";0,490730751
"38";"HGY1_recut_d1_TT4_1.t";"Day 1";"Within";0,116768305
"39";"HGY1_recut_d1_TT4_2.t";"Day 1";"Within";0,195253633
"40";"HGY1_recut_d1_TT4_3.t";"Day 1";"Within";0,138241749
"41";"HGY1_recut_d1_TT4_4.t";"Day 1";"Within";0,061873578
"42";"HGY1_recut_d1_TT4_6.t";"Day 1";"Within";0,073260244
