"";"Subject";"Day";"Context";"Rate"
"1";"AK42_CA1_d7_TT2_02.t";"Day 1";"Within";42,49158156
"2";"AK42_CA1_d7_TT2_03.t";"Day 1";"Within";10,22205037
"3";"AK42_CA1_d7_TT2_04.t";"Day 1";"Within";12,64267934
"4";"AK42_CA1_d7_TT2_05.t";"Day 1";"Within";29,79329414
"5";"AK42_CA1_d7_TT4_03.t";"Day 1";"Within";20,94690831
"6";"AK42_CA1_d7_TT4_04.t";"Day 1";"Within";18,5911175
"7";"AK42_CA1_d7_TT5_01.t";"Day 1";"Within";53,62225133
"8";"AK42_CA1_d7_TT5_02.t";"Day 1";"Within";55,89860476
"9";"AK42_CA1_d7_TT5_03.t";"Day 1";"Within";48,49563995
"10";"AK42_CA1_d7_TT5_04.t";"Day 1";"Within";71,27327736
"11";"AK42_CA1_d7_TT5_05.t";"Day 1";"Within";35,39532675
"12";"AK42_CA1_d8_TT2_03.t";"Day 2";"Within";13,17401865
"13";"AK42_CA1_d8_TT2_04.t";"Day 2";"Within";50,12983256
"14";"AK42_CA1_d8_TT2_05.t";"Day 2";"Within";46,46592379
"15";"AK42_CA1_d8_TT5_01.t";"Day 2";"Within";19,27518017
"16";"AK42_CA1_d8_TT5_02.t";"Day 2";"Within";53,64815693
"17";"AK42_CA1_d8_TT5_03.t";"Day 2";"Within";19,51342094
"18";"AK42_CA1_d8_TT5_04.t";"Day 2";"Within";18,51982868
"19";"AK42_CA1_d9_TT2_01.t";"Day 3";"Within";53,83094827
"20";"AK42_CA1_d9_TT2_02.t";"Day 3";"Within";75,99090356
"21";"AK42_CA1_d9_TT2_03.t";"Day 3";"Within";13,69859407
"22";"AK42_CA1_d9_TT4_01.t";"Day 3";"Within";79,02097698
"23";"AK42_CA1_d9_TT4_02.t";"Day 3";"Within";24,6600747
"24";"AK42_CA1_d9_TT4_05.t";"Day 3";"Within";26,6119557
"25";"AK42_CA1_d9_TT5_01.t";"Day 3";"Within";24,58811927
"26";"AK42_CA1_d9_TT5_02.t";"Day 3";"Within";22,04476239
"27";"AK42_CA1_d9_TT5_03.t";"Day 3";"Within";16,49746985
"28";"AK42_CA1_d9_TT5_04.t";"Day 3";"Within";33,61605484
"29";"AK42_CA1_d9_TT5_05.t";"Day 3";"Within";20,27678272
"30";"AK74_CA1_d1_TT4_02.t";"Day 1";"Within";12,92844949
"31";"AK74_CA1_d1_TT4_06.t";"Day 1";"Within";20,03424258
"32";"AK74_CA1_d2_TT4_02.t";"Day 2";"Within";21,59733677
"33";"AK74_CA1_d2_TT4_06.t";"Day 2";"Within";14,53946597
"34";"AK74_CA1_d3_TT4_01.t";"Day 3";"Within";10,5331166
"35";"AK74_CA1_d3_TT4_02.t";"Day 3";"Within";37,14728097
"36";"AK74_CA1_d3_TT4_04.t";"Day 3";"Within";17,13741015
"37";"AK74_CA1_d3_TT4_07.t";"Day 3";"Within";23,2070807
"38";"AK74_CA1_d3_TT4_08.t";"Day 3";"Within";10,43279579
"39";"JJ9_CA1_d1_TT2_06.t";"Day 1";"Within";20,09457316
"40";"JJ9_CA1_d1_TT5_02.t";"Day 1";"Within";2,078623846
"41";"JJ9_CA1_d1_TT5_03.t";"Day 1";"Within";79,51107687
"42";"JJ9_CA1_d1_TT5_04.t";"Day 1";"Within";82,31140287
"43";"JJ9_CA1_d1_TT5_05.t";"Day 1";"Within";31,77708158
"44";"JJ9_CA1_d1_TT5_06.t";"Day 1";"Within";57,31263322
"45";"JJ9_CA1_d2_TT2_01.t";"Day 2";"Within";74,78972325
"46";"JJ9_CA1_d2_TT2_02.t";"Day 2";"Within";35,9701986
"47";"JJ9_CA1_d2_TT2_03.t";"Day 2";"Within";22,38425412
"48";"JJ9_CA1_d2_TT2_04.t";"Day 2";"Within";10,16425675
"49";"JJ9_CA1_d2_TT2_05.t";"Day 2";"Within";47,42484948
"50";"JJ9_CA1_d2_TT5_01.t";"Day 2";"Within";177,9427224
"51";"JJ9_CA1_d2_TT5_02.t";"Day 2";"Within";96,33104717
"52";"JJ9_CA1_d2_TT5_03.t";"Day 2";"Within";84,45588927
"53";"JJ9_CA1_d2_TT5_04.t";"Day 2";"Within";19,0306256
"54";"JJ9_CA1_d2_TT5_05.t";"Day 2";"Within";56,54824704
"55";"JJ9_CA1_d2_TT5_06.t";"Day 2";"Within";57,64660037
"56";"JJ9_CA1_d2_TT5_07.t";"Day 2";"Within";34,1156942
"57";"JJ9_CA1_d3_TT2_02.t";"Day 3";"Within";18,65369063
"58";"JJ9_CA1_d3_TT2_03.t";"Day 3";"Within";42,44017535
"59";"JJ9_CA1_d3_TT5_01.t";"Day 3";"Within";14,22771061
"60";"JJ9_CA1_d3_TT5_02.t";"Day 3";"Within";138,2246607
"61";"JJ9_CA1_d3_TT5_03.t";"Day 3";"Within";113,0298798
"62";"JJ9_CA1_d3_TT5_04.t";"Day 3";"Within";34,73782277
"63";"K1_CA1_d2_TT1_1.t";"Day 2";"Within";8,482384135
"64";"K1_CA1_d2_TT1_2.t";"Day 2";"Within";18,95110068
"65";"K1_CA1_d2_TT1_3.t";"Day 2";"Within";14,81151568
"66";"K1_CA1_d2_TT2_1.t";"Day 2";"Within";11,98781672
"67";"K1_CA1_d2_TT2_2.t";"Day 2";"Within";30,66682184
"68";"K1_CA1_d2_TT2_6.t";"Day 2";"Within";18,84411863
"69";"K1_CA1_d2_TT3_1.t";"Day 2";"Within";33,64096653
"70";"K1_CA1_d2_TT3_2.t";"Day 2";"Within";6,293801651
"71";"K1_CA1_d2_TT3_3.t";"Day 2";"Within";30,94196831
"72";"K1_CA1_d2_TT3_4.t";"Day 2";"Within";33,25575099
"73";"K1_CA1_d2_TT3_6.t";"Day 2";"Within";18,62805836
"74";"K1_CA1_d2_TT3_7.t";"Day 2";"Within";14,93880959
"75";"K1_CA1_d4_TT2_1.t";"Day 3";"Within";12,30818652
"76";"K1_CA1_d4_TT2_5.t";"Day 3";"Within";2,272772032
"77";"MG1_d6_TT3_1.t";"Day 1";"Within";27,63465523
"78";"MG1_d6_TT3_10.t";"Day 1";"Within";20,67829709
"79";"MG1_d6_TT3_11.t";"Day 1";"Within";23,57807497
"80";"MG1_d6_TT3_13.t";"Day 1";"Within";15,50499841
"81";"MG1_d6_TT3_2.t";"Day 1";"Within";44,62296144
"82";"MG1_d6_TT3_3.t";"Day 1";"Within";53,32975952
"83";"MG1_d6_TT3_4.t";"Day 1";"Within";10,48707686
"84";"MG1_d6_TT3_5.t";"Day 1";"Within";69,27685636
"85";"MG1_d6_TT3_6.t";"Day 1";"Within";56,27816201
"86";"MG1_d6_TT3_7.t";"Day 1";"Within";33,54000254
"87";"MG1_d6_TT3_8.t";"Day 1";"Within";47,79246797
"88";"MG1_d6_TT3_9.t";"Day 1";"Within";39,53732397
"89";"MG1_d7_TT3_1.t";"Day 2";"Within";35,35650724
"90";"MG1_d7_TT3_11.t";"Day 2";"Within";51,45725662
"91";"MG1_d7_TT3_12.t";"Day 2";"Within";6,300310582
