"";"Day";"CellType";"Perc"
"1";"Day 1";"FI";24,19758859
"2";"Day 1";"FI";12,889885
"3";"Day 1";"FI";16,11439991
"4";"Day 1";"FI";35,8801317
"5";"Day 1";"FI";16,01236253
"6";"Day 1";"FI";33,31786251
"7";"Day 1";"FI";27,21475373
"8";"Day 1";"FI";32,13969194
"9";"Day 1";"FI";24,21377347
"10";"Day 1";"FI";31,09072241
"11";"Day 1";"FI";21,95858047
"12";"Day 1";"FI";22,48431324
"13";"Day 1";"FI";32,41991605
"14";"Day 1";"FI";12,81490875
"15";"Day 1";"FI";18,14487794
"16";"Day 1";"FI";10,30845728
"17";"Day 1";"FI";15,20042164
"18";"Day 1";"FI";20,0723614
"19";"Day 1";"FI";24,93046672
"20";"Day 1";"FI";5,904283588
"21";"Day 1";"FI";29,0837327
"22";"Day 1";"FI";20,70118183
"23";"Day 1";"FI";22,05472982
"24";"Day 1";"FI";34,34115242
"25";"Day 1";"FI";21,67995142
"26";"Day 1";"FI";33,43555948
"27";"Day 1";"FI";28,48668632
"28";"Day 1";"FI";36,336657
"29";"Day 1";"FI";17,91704659
"30";"Day 1";"FI";19,69508778
"31";"Day 1";"FI";22,81403002
"32";"Day 1";"FI";25,97329004
"33";"Day 1";"FI";22,86010829
"34";"Day 1";"FI";31,69684656
"35";"Day 1";"FI";35,08678053
"36";"Day 1";"FI";29,90057183
"37";"Day 1";"FI";26,62084903
"38";"Day 1";"FI";14,16553228
"39";"Day 1";"FI";32,60835248
"40";"Day 1";"FI";18,4764902
"41";"Day 1";"FI";17,43057525
"42";"Day 1";"FI";29,42770147
"43";"Day 1";"FI";11,14476687
"44";"Day 1";"FI";17,85802029
"45";"Day 1";"FI";14,85469549
"46";"Day 1";"FI";19,38553038
"47";"Day 1";"FI";13,7037457
"48";"Day 1";"FI";12,01368986
"49";"Day 1";"FI";15,73468392
"50";"Day 1";"FI";19,00274463
"51";"Day 1";"FI";25,26446302
"52";"Day 1";"FI";23,51161586
"53";"Day 1";"FI";17,33780409
"54";"Day 1";"FI";21,92815246
"55";"Day 1";"FI";17,37383235
"56";"Day 1";"FI";24,45503236
"57";"Day 1";"FI";34,05737186
"58";"Day 1";"FI";9,399981559
"59";"Day 1";"FI";20,41307687
"60";"Day 1";"FI";11,31226879
"61";"Day 1";"FI";12,78087414
"62";"Day 1";"FI";16,49811412
"63";"Day 1";"FI";10,18755372
"64";"Day 1";"FI";24,28209294
"65";"Day 1";"FI";24,12067196
"66";"Day 1";"FI";11,47792183
"67";"Day 1";"FI";18,27551759
"68";"Day 1";"FI";25,14848208
"69";"Day 1";"FI";24,1613735
"70";"Day 1";"FI";13,43663434
"71";"Day 1";"FI";17,06402989
"72";"Day 1";"FI";27,27823946
"73";"Day 1";"FI";14,05733366
"74";"Day 1";"FI";27,75484188
"75";"Day 1";"FI";8,018142369
"76";"Day 1";"FI";24,812662
"77";"Day 1";"FI";22,54534628
"78";"Day 1";"FI";22,98548957
"79";"Day 1";"FI";28,8973646
"80";"Day 1";"FI";21,36795519
"81";"Day 1";"FI";18,24084434
"82";"Day 1";"FI";14,97987267
"83";"Day 1";"FI";17,44113753
"84";"Day 1";"FI";9,051146613
"85";"Day 1";"FI";11,50041071
"86";"Day 1";"FI";19,25610995
"87";"Day 1";"FI";14,77505135
"88";"Day 1";"FI";13,95530209
"89";"Day 1";"FI";33,67905656
"90";"Day 1";"FI";8,725265062
"91";"Day 1";"FI";29,92165087
"92";"Day 1";"FI";70,39849354
"93";"Day 1";"FI";55,17666437
"94";"Day 1";"FI";18,28661628
"95";"Day 1";"FI";17,30449203
"96";"Day 1";"FI";15,12272676
"97";"Day 1";"FI";25,03346544
"98";"Day 1";"FI";21,02844749
